genome	cog_category	description	n_genes	syn_G	syn_C	syn_A	syn_T	syn_GC_skew	syn_AT_skew
bin.LS.10	P	Inorganic ion transport and metabolism	1	65	67	9	7	-0.015152	0.125000
bin.LS.11	V	Defense mechanisms	1	14	17	8	9	-0.096774	-0.058824
bin.LS.12	E	Amino acid transport and metabolism	1	15	25	7	10	-0.250000	-0.176471
bin.LS.12	T	Signal transduction	1	15	25	7	10	-0.250000	-0.176471
bin.LS.12	K	Transcription	1	12	8	4	7	0.200000	-0.272727
bin.LS.12	J	Translation, ribosomal structure and biogenesis	1	9	14	2	6	-0.217391	-0.500000
bin.LS.12	C	Energy production and conversion	1	35	35	4	7	0.000000	-0.272727
bin.LS.13	K	Transcription	2	81	99	24	43	-0.100000	-0.283582
bin.LS.13	J	Translation, ribosomal structure and biogenesis	3	57	38	11	18	0.200000	-0.241379
bin.LS.13	B	Chromatin structure and dynamics	1	12	15	11	7	-0.111111	0.222222
bin.LS.13	D	Cell cycle control and mitosis	1	75	76	16	21	-0.006623	-0.135135
bin.LS.13	Z	Cytoskeleton	1	75	76	16	21	-0.006623	-0.135135
bin.LS.16	J	Translation, ribosomal structure and biogenesis	2	19	24	6	11	-0.116279	-0.294118
bin.LS.16	B	Chromatin structure and dynamics	1	12	19	7	9	-0.225806	-0.125000
bin.LS.17	O	Post-translational modification and chaperones	1	13	16	6	8	-0.103448	-0.142857
bin.LS.17	J	Translation, ribosomal structure and biogenesis	4	87	70	28	32	0.108280	-0.066667
bin.LS.17	C	Energy production and conversion	1	9	12	2	2	-0.142857	0.000000
bin.LS.18	J	Translation, ribosomal structure and biogenesis	2	20	23	5	6	-0.069767	-0.090909
bin.LS.22	D	Cell cycle control and mitosis	1	68	122	3	7	-0.284211	-0.400000
bin.LS.22	Z	Cytoskeleton	1	68	122	3	7	-0.284211	-0.400000
bin.LS.22	K	Transcription	1	49	103	4	11	-0.355263	-0.466667
bin.LS.22	E	Amino acid transport and metabolism	1	88	108	3	9	-0.102041	-0.500000
bin.LS.23	I	Lipid transport and metabolism	17	1398	1561	162	180	-0.055086	-0.052632
bin.LS.23	K	Transcription	23	1253	1374	148	186	-0.046060	-0.113772
bin.LS.23	G	Carbohydrate transport and metabolism	4	445	501	24	50	-0.059197	-0.351351
bin.LS.23	L	Replication, recombination and repair	6	656	688	77	97	-0.023810	-0.114943
bin.LS.23	C	Energy production and conversion	12	1062	1166	106	137	-0.046679	-0.127572
bin.LS.23	R	General function prediction only	12	1067	1133	110	133	-0.030000	-0.094650
bin.LS.23	J	Translation, ribosomal structure and biogenesis	25	813	1097	98	144	-0.148691	-0.190083
bin.LS.23	T	Signal transduction	17	1260	1366	111	125	-0.040366	-0.059322
bin.LS.23	S	Function unknown	6	574	554	49	59	0.017730	-0.092593
bin.LS.23	F	Nucleotide transport and metabolism	6	517	539	59	63	-0.020833	-0.032787
bin.LS.23	M	Cell wall/membrane biogenesis	6	607	653	65	88	-0.036508	-0.150327
bin.LS.23	H	Coenzyme transport and metabolism	3	170	209	16	22	-0.102902	-0.157895
bin.LS.23	E	Amino acid transport and metabolism	8	633	678	49	70	-0.034325	-0.176471
bin.LS.23	V	Defense mechanisms	2	78	98	8	18	-0.113636	-0.384615
bin.LS.23	P	Inorganic ion transport and metabolism	4	211	254	21	30	-0.092473	-0.176471
bin.LS.23	O	Post-translational modification and chaperones	4	114	131	12	22	-0.069388	-0.294118
bin.LS.23	D	Cell cycle control and mitosis	4	383	432	42	58	-0.060123	-0.160000
bin.LS.24	C	Energy production and conversion	2	48	70	10	8	-0.186441	0.111111
bin.LS.24	Q	Secondary metabolites biosynthesis and transport	1	23	29	6	5	-0.115385	0.090909
bin.LS.24	J	Translation, ribosomal structure and biogenesis	1	10	8	3	6	0.111111	-0.333333
bin.LS.26	H	Coenzyme transport and metabolism	123	2929	2055	5499	4995	0.175361	0.048027
bin.LS.26	R	General function prediction only	115	2581	1962	4641	4445	0.136254	0.021572
bin.LS.26	C	Energy production and conversion	98	2550	1968	5554	5457	0.128818	0.008809
bin.LS.26	K	Transcription	129	2408	1760	4012	4171	0.155470	-0.019431
bin.LS.26	X	Unknown	5	50	63	88	85	-0.115044	0.017341
bin.LS.26	E	Amino acid transport and metabolism	178	5406	3673	10237	9474	0.190880	0.038709
bin.LS.26	G	Carbohydrate transport and metabolism	100	2741	1868	5645	5358	0.189412	0.026084
bin.LS.26	F	Nucleotide transport and metabolism	62	1531	1065	3406	3018	0.179507	0.060399
bin.LS.26	P	Inorganic ion transport and metabolism	83	2110	1749	3913	3885	0.093548	0.003591
bin.LS.26	U	Intracellular trafficking and secretion	23	378	295	671	741	0.123328	-0.049575
bin.LS.26	D	Cell cycle control and mitosis	111	1965	1485	3764	3708	0.139130	0.007495
bin.LS.26	I	Lipid transport and metabolism	88	2172	1709	4411	4106	0.119299	0.035811
bin.LS.26	J	Translation, ribosomal structure and biogenesis	172	2903	2132	6307	7331	0.153128	-0.075084
bin.LS.26	S	Function unknown	70	988	760	1741	1707	0.130435	0.009861
bin.LS.26	L	Replication, recombination and repair	59	2245	1516	3833	3902	0.193831	-0.008920
bin.LS.26	T	Signal transduction	93	2238	1530	3898	3885	0.187898	0.001670
bin.LS.26	V	Defense mechanisms	31	808	563	1244	1189	0.178702	0.022606
bin.LS.26	B	Chromatin structure and dynamics	2	4	5	39	42	-0.111111	-0.037037
bin.LS.26	M	Cell wall/membrane biogenesis	79	2190	1555	4407	4023	0.169559	0.045552
bin.LS.26	Q	Secondary metabolites biosynthesis and transport	15	337	281	635	663	0.090615	-0.021572
bin.LS.26	O	Post-translational modification and chaperones	67	1441	1073	2959	2763	0.146380	0.034254
bin.LS.26	N	Cell motility	26	544	331	806	866	0.243429	-0.035885
bin.LS.26	Z	Cytoskeleton	2	47	30	101	116	0.220779	-0.069124
bin.LS.26	A	RNA processing and modification	1	9	8	17	12	0.058824	0.172414
bin.LS.27	J	Translation, ribosomal structure and biogenesis	5	83	96	30	37	-0.072626	-0.104478
bin.LS.27	G	Carbohydrate transport and metabolism	1	60	96	14	22	-0.230769	-0.222222
bin.LS.27	K	Transcription	1	20	34	11	13	-0.259259	-0.083333
bin.LS.27	D	Cell cycle control and mitosis	1	56	83	21	33	-0.194245	-0.222222
bin.LS.27	Z	Cytoskeleton	1	56	83	21	33	-0.194245	-0.222222
bin.LS.27	S	Function unknown	1	73	50	19	17	0.186992	0.055556
bin.LS.27	T	Signal transduction	3	180	171	57	67	0.025641	-0.080645
bin.LS.27	M	Cell wall/membrane biogenesis	1	53	85	16	20	-0.231884	-0.111111
bin.LS.27	E	Amino acid transport and metabolism	2	41	48	8	15	-0.078652	-0.304348
bin.LS.28	J	Translation, ribosomal structure and biogenesis	1	7	13	12	13	-0.300000	-0.040000
bin.LS.29	X	Unknown	1	22	16	8	11	0.157895	-0.157895
bin.LS.29	J	Translation, ribosomal structure and biogenesis	10	267	334	42	124	-0.111481	-0.493976
bin.LS.29	F	Nucleotide transport and metabolism	5	338	348	41	61	-0.014577	-0.196078
bin.LS.29	K	Transcription	5	159	193	32	31	-0.096591	0.015873
bin.LS.29	T	Signal transduction	6	147	206	27	37	-0.167139	-0.156250
bin.LS.29	E	Amino acid transport and metabolism	7	470	630	59	78	-0.145455	-0.138686
bin.LS.29	G	Carbohydrate transport and metabolism	4	335	442	30	47	-0.137709	-0.220779
bin.LS.29	H	Coenzyme transport and metabolism	6	310	358	46	52	-0.071856	-0.061224
bin.LS.29	M	Cell wall/membrane biogenesis	2	225	243	19	24	-0.038462	-0.116279
bin.LS.29	L	Replication, recombination and repair	1	40	52	4	7	-0.130435	-0.272727
bin.LS.29	C	Energy production and conversion	4	119	125	24	41	-0.024590	-0.261538
bin.LS.29	O	Post-translational modification and chaperones	4	125	137	25	37	-0.045802	-0.193548
bin.LS.29	V	Defense mechanisms	1	22	43	8	7	-0.323077	0.066667
bin.LS.29	P	Inorganic ion transport and metabolism	1	5	14	3	4	-0.473684	-0.142857
bin.LS.29	I	Lipid transport and metabolism	1	15	22	0	2	-0.189189	-1.000000
bin.LS.31	J	Translation, ribosomal structure and biogenesis	2	52	35	7	14	0.195402	-0.333333
bin.LS.31	X	Unknown	1	11	24	2	15	-0.371429	-0.764706
bin.LS.32	Q	Secondary metabolites biosynthesis and transport	1	28	28	3	10	0.000000	-0.538462
bin.LS.32	O	Post-translational modification and chaperones	1	26	41	13	17	-0.223881	-0.133333
bin.LS.32	S	Function unknown	1	14	15	4	10	-0.034483	-0.428571
bin.LS.32	R	General function prediction only	1	64	68	21	27	-0.030303	-0.125000
bin.LS.4	J	Translation, ribosomal structure and biogenesis	1	12	21	2	3	-0.272727	-0.200000
bin.LS.6	J	Translation, ribosomal structure and biogenesis	2	15	29	3	4	-0.318182	-0.142857
bin.LS.6	F	Nucleotide transport and metabolism	1	15	25	0	1	-0.250000	-1.000000
bin.LS.7	I	Lipid transport and metabolism	1	10	14	2	5	-0.166667	-0.428571
bin.LS.7	D	Cell cycle control and mitosis	1	65	82	12	26	-0.115646	-0.368421
bin.LS.7	Z	Cytoskeleton	1	65	82	12	26	-0.115646	-0.368421
bin.LS.7	J	Translation, ribosomal structure and biogenesis	2	32	45	9	21	-0.168831	-0.400000
bin.LS.7	K	Transcription	1	58	77	9	30	-0.140741	-0.538462
bin.LS.9	K	Transcription	4	151	201	45	81	-0.142045	-0.285714
bin.LS.9	J	Translation, ribosomal structure and biogenesis	8	152	207	38	71	-0.153203	-0.302752
bin.LS.9	L	Replication, recombination and repair	1	40	46	10	15	-0.069767	-0.200000
bin.LS.9	O	Post-translational modification and chaperones	4	260	440	61	158	-0.257143	-0.442922
bin.LS.9	R	General function prediction only	1	47	58	11	9	-0.104762	0.100000
bin.LS.9	E	Amino acid transport and metabolism	2	91	142	38	43	-0.218884	-0.061728
bin.LS.9	T	Signal transduction	1	19	25	10	9	-0.136364	0.052632
bin.LS.9	C	Energy production and conversion	2	64	126	26	30	-0.326316	-0.071429
bin.LS.9	I	Lipid transport and metabolism	1	8	25	2	7	-0.515152	-0.555556
bin.LS.9	V	Defense mechanisms	1	21	30	3	8	-0.176471	-0.454545
bin.LSP.1	J	Translation, ribosomal structure and biogenesis	1	3	8	0	3	-0.454545	-1.000000
bin.LSP.6	G	Carbohydrate transport and metabolism	311	28462	22991	6076	10442	0.106330	-0.264318
bin.LSP.6	M	Cell wall/membrane biogenesis	192	14314	12095	3574	6767	0.084024	-0.308771
bin.LSP.6	T	Signal transduction	177	13758	11108	3162	5601	0.106571	-0.278329
bin.LSP.6	O	Post-translational modification and chaperones	144	8384	7021	2102	4382	0.088478	-0.351635
bin.LSP.6	I	Lipid transport and metabolism	108	7800	6543	1878	3170	0.087639	-0.255943
bin.LSP.6	K	Transcription	273	15554	12179	3755	6732	0.121696	-0.283875
bin.LSP.6	E	Amino acid transport and metabolism	299	25186	20014	5184	9468	0.114425	-0.292383
bin.LSP.6	R	General function prediction only	187	13587	11020	3018	4871	0.104320	-0.234884
bin.LSP.6	P	Inorganic ion transport and metabolism	193	16503	12881	3259	5546	0.123264	-0.259739
bin.LSP.6	C	Energy production and conversion	159	12747	11180	2702	5620	0.065491	-0.350637
bin.LSP.6	J	Translation, ribosomal structure and biogenesis	249	12073	10708	3417	7988	0.059918	-0.400789
bin.LSP.6	F	Nucleotide transport and metabolism	89	6056	5535	1464	2881	0.044949	-0.326122
bin.LSP.6	H	Coenzyme transport and metabolism	172	10849	9059	2543	4465	0.089914	-0.274258
bin.LSP.6	V	Defense mechanisms	74	5315	4408	1284	2229	0.093284	-0.269001
bin.LSP.6	S	Function unknown	116	5038	4035	1303	2066	0.110548	-0.226477
bin.LSP.6	L	Replication, recombination and repair	98	8346	6867	1791	3605	0.097219	-0.336175
bin.LSP.6	Q	Secondary metabolites biosynthesis and transport	50	4006	3210	797	1415	0.110310	-0.279385
bin.LSP.6	U	Intracellular trafficking and secretion	61	3476	2863	1069	1783	0.096703	-0.250351
bin.LSP.6	D	Cell cycle control and mitosis	33	2212	1818	618	1277	0.097767	-0.347757
bin.LSP.6	Z	Cytoskeleton	2	121	97	49	134	0.110092	-0.464481
bin.LSP.6	B	Chromatin structure and dynamics	7	95	101	56	149	-0.030612	-0.453659
bin.LSP.6	N	Cell motility	82	5194	4723	1255	2134	0.047494	-0.259369
bin.LSP.6	W	Extracellular structures	13	1075	1101	265	367	-0.011949	-0.161392
bin.LSP.6	X	Unknown	2	83	77	15	43	0.037500	-0.482759
bin.LSP.6	A	RNA processing and modification	1	37	25	9	15	0.193548	-0.250000
